epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_loss
,0.001,0,,,,
0,,5,,,0.3076923191547394,1.3385175466537476
,0.0009999383162408303,6,,,,
1,,11,,,0.557692289352417,1.2517942190170288
,0.0009997532801828658,12,,,,
2,,17,,,0.6730769276618958,1.098056674003601
,0.0009994449374809851,18,,,,
3,,23,,,0.692307710647583,0.9422121644020081
,0.0009990133642141358,24,,,,
4,,29,,,0.6153846383094788,0.877609372138977
,0.000998458666866564,30,,,,
5,,35,,,0.7307692170143127,0.767461359500885
,0.00099778098230154,36,,,,
6,,41,,,0.6730769276618958,0.7775819301605225
,0.0009969804777275899,42,,,,
7,,47,,,0.7307692170143127,0.7129309177398682
,0.000996057350657239,48,,,,
8,,49,0.6875,0.6918517351150513,,
8,,53,,,0.7115384340286255,0.686619222164154
,0.0009950118288582787,54,,,,
9,,59,,,0.7884615659713745,0.6457110047340393
,0.0009938441702975688,60,,,,
10,,65,,,0.7884615659713745,0.6307669281959534
,0.000992554663077387,66,,,,
11,,71,,,0.7307692170143127,0.7299174070358276
,0.0009911436253643444,72,,,,
12,,77,,,0.75,0.6760753989219666
,0.0009896114053108828,78,,,,
13,,83,,,0.75,0.6671938300132751
,0.0009879583809693736,84,,,,
14,,89,,,0.7692307829856873,0.6178810596466064
,0.0009861849601988382,90,,,,
15,,95,,,0.7307692170143127,0.6527680158615112
,0.0009842915805643154,96,,,,
16,,99,0.71875,0.5711594223976135,,
16,,101,,,0.7884615659713745,0.6192120909690857
,0.000982278709228899,102,,,,
17,,107,,,0.75,0.6572099924087524
,0.0009801468428384714,108,,,,
18,,113,,,0.75,0.7326124906539917
,0.0009778965073991648,114,,,,
19,,119,,,0.75,0.681656002998352
,0.0009755282581475766,120,,,,
20,,125,,,0.7115384340286255,0.7089309692382812
,0.0009730426794137723,126,,,,
21,,131,,,0.7692307829856873,0.6403583884239197
,0.0009704403844771124,132,,,,
22,,137,,,0.7692307829856873,0.658068060874939
,0.0009677220154149334,138,,,,
23,,143,,,0.7307692170143127,0.6873513460159302
,0.0009648882429441253,144,,,,
24,,149,0.8125,0.4097819924354553,,
24,,149,,,0.8269230723381042,0.5814254283905029
,0.000961939766255643,150,,,,
25,,155,,,0.7307692170143127,0.6812180876731873
,0.0009588773128419901,156,,,,
26,,161,,,0.692307710647583,0.7155238389968872
,0.0009557016383177221,162,,,,
27,,167,,,0.7307692170143127,0.7881390452384949
,0.0009524135262330093,168,,,,
28,,173,,,0.7884615659713745,0.7392663359642029
,0.0009490137878803073,174,,,,
29,,179,,,0.7115384340286255,0.8245044946670532
,0.0009455032620941834,180,,,,
30,,185,,,0.7307692170143127,0.7621122598648071
,0.0009418828150443463,186,,,,
31,,191,,,0.7692307829856873,0.7741420269012451
,0.0009381533400219311,192,,,,
32,,197,,,0.7692307829856873,0.7699000835418701
,0.0009343157572190951,198,,,,
33,,199,0.9375,0.25995540618896484,,
33,,203,,,0.7307692170143127,0.7211780548095703
,0.0009303710135019713,204,,,,
34,,209,,,0.7307692170143127,0.9036060571670532
,0.0009263200821770456,210,,,,
35,,215,,,0.7884615659713745,0.7669978737831116
,0.000922163962751007,216,,,,
36,,221,,,0.7884615659713745,0.7187876105308533
,0.0009179036806841347,222,,,,
37,,227,,,0.8269230723381042,0.7370818853378296
,0.0009135402871372803,228,,,,
38,,233,,,0.7115384340286255,0.9110484719276428
,0.0009090748587125112,234,,,,
39,,239,,,0.75,0.7786715626716614
,0.0009045084971874732,240,,,,
40,,245,,,0.7307692170143127,0.7780262231826782
,0.0008998423292435448,246,,,,
41,,249,0.9375,0.2504758834838867,,
41,,251,,,0.7884615659713745,0.7865858674049377
,0.0008950775061878447,252,,,,
42,,257,,,0.7692307829856873,0.8539355397224426
,0.0008902152036691643,258,,,,
43,,263,,,0.7692307829856873,0.8091965913772583
,0.000885256621387894,264,,,,
44,,269,,,0.7115384340286255,0.8916183114051819
,0.0008802029828000149,270,,,,
45,,275,,,0.75,0.9363805055618286
,0.0008750555348152292,276,,,,
46,,281,,,0.7115384340286255,1.0332480669021606
,0.0008698155474893041,282,,,,
47,,287,,,0.75,0.8566917777061462
,0.0008644843137107051,288,,,,
48,,293,,,0.75,0.8359172344207764
,0.0008590631488815939,294,,,,
49,,299,0.90625,0.3670278787612915,,
49,,299,,,0.6730769276618958,1.0844566822052002
,0.0008535533905932731,300,,,,
50,,305,,,0.7692307829856873,0.9313408732414246
,0.0008479563982961564,306,,,,
51,,311,,,0.6153846383094788,1.0610442161560059
,0.0008422735529643437,312,,,,
52,,317,,,0.7692307829856873,0.9072266817092896
,0.000836506256754886,318,,,,
53,,323,,,0.7692307829856873,0.9167214632034302
,0.0008306559326618253,324,,,,
54,,329,,,0.7307692170143127,0.9594744443893433
