epoch,lr-AdamW,step,train_loss,val_loss,val_mae
,0.001,0,,,
0,,4,,0.06988654285669327,0.22615894675254822
,0.000999972584682756,5,,,
1,,9,,0.06575191766023636,0.21897119283676147
,0.0009998903417374227,10,,,
2,,14,,0.06000668182969093,0.20779962837696075
,0.0009997532801828658,15,,,
3,,19,,0.05750809609889984,0.20453065633773804
,0.0009995614150494292,20,,,
4,,24,,0.06023794785141945,0.2053316980600357
,0.000999314767377287,25,,,
5,,29,,0.047982241958379745,0.1853572279214859
,0.0009990133642141358,30,,,
6,,34,,0.04756755754351616,0.18046626448631287
,0.000998657238612229,35,,,
7,,39,,0.056453391909599304,0.19173027575016022
,0.0009982464296247522,40,,,
8,,44,,0.07023749500513077,0.21425680816173553
,0.00099778098230154,45,,,
9,,49,0.03199358657002449,,
9,,49,,0.060136135667562485,0.20271100103855133
,0.0009972609476841367,50,,,
10,,54,,0.05840890109539032,0.19214573502540588
,0.0009966863828001983,55,,,
11,,59,,0.06555648148059845,0.21130162477493286
,0.0009960573506572392,60,,,
12,,64,,0.05979851633310318,0.19708861410617828
,0.000995373920235722,65,,,
13,,69,,0.057764723896980286,0.19150352478027344
,0.0009946361664814943,70,,,
14,,74,,0.06657911092042923,0.2018139511346817
,0.000993844170297569,75,,,
15,,79,,0.06434247642755508,0.20054101943969727
,0.0009929980185352527,80,,,
16,,84,,0.06640125811100006,0.21129851043224335
,0.000992097803984621,85,,,
17,,89,,0.07756674289703369,0.22950997948646545
,0.0009911436253643446,90,,,
18,,94,,0.08669857680797577,0.24324126541614532
,0.0009901355873108612,95,,,
19,,99,0.016773778945207596,,
19,,99,,0.07286752015352249,0.21557894349098206
,0.000989073800366903,100,,,
20,,104,,0.06394877284765244,0.19648851454257965
,0.0009879583809693738,105,,,
21,,109,,0.0719863548874855,0.20176266133785248
,0.0009867894514365802,110,,,
22,,114,,0.0701163038611412,0.22192764282226562
,0.0009855671399548183,115,,,
23,,119,,0.06602279841899872,0.21484822034835815
,0.0009842915805643158,120,,,
24,,124,,0.059913214296102524,0.18719719350337982
,0.0009829629131445344,125,,,
25,,129,,0.0630670040845871,0.20203861594200134
,0.0009815812833988294,130,,,
26,,134,,0.08363337069749832,0.2382224202156067
,0.0009801468428384719,135,,,
27,,139,,0.08969458937644958,0.24766062200069427
,0.000978659748766034,140,,,
28,,144,,0.06899130344390869,0.2092389464378357
,0.0009771201642581387,145,,,
29,,149,0.009404701180756092,,
29,,149,,0.05778355896472931,0.19432596862316132
,0.0009755282581475771,150,,,
30,,154,,0.0692690908908844,0.2075158655643463
,0.0009738842050047931,155,,,
31,,159,,0.057198621332645416,0.192138671875
,0.0009721881851187409,160,,,
32,,164,,0.049520980566740036,0.18171030282974243
,0.0009704403844771131,165,,,
33,,169,,0.06470572203397751,0.20734791457653046
,0.0009686409947459461,170,,,
34,,174,,0.06177562102675438,0.20033162832260132
,0.0009667902132486011,175,,,
35,,179,,0.06932786107063293,0.20853792130947113
,0.000964888242944126,180,,,
36,,184,,0.07552371174097061,0.2229595184326172
,0.0009629352924049977,185,,,
37,,189,,0.0699167400598526,0.21107935905456543
,0.0009609315757942507,190,,,
38,,194,,0.06489916145801544,0.20117458701133728
,0.0009588773128419909,195,,,
39,,199,0.0066459872759878635,,
39,,199,,0.0673779770731926,0.20667864382266998
,0.0009567727288213008,200,,,
40,,204,,0.06297129392623901,0.20737670361995697
,0.0009546180545235346,205,,,
41,,209,,0.059261057525873184,0.20151156187057495
,0.0009524135262330101,210,,,
42,,214,,0.0697707012295723,0.2028166651725769
,0.0009501593857010972,215,,,
43,,219,,0.06522482633590698,0.20414729416370392
,0.0009478558801197068,220,,,
44,,224,,0.05577821657061577,0.19390656054019928
,0.0009455032620941841,225,,,
45,,229,,0.05980691686272621,0.20464719831943512
,0.0009431017896156075,230,,,
46,,234,,0.06923084706068039,0.21957458555698395
