epoch,lr-AdamW,step,train_loss,val_loss,val_mae
,0.001,0,,,
0,,8,,0.053320277482271194,0.1984533667564392
,0.000999972584682756,9,,,
1,,17,,0.05099242180585861,0.19394028186798096
,0.0009998903417374227,18,,,
2,,26,,0.04981757700443268,0.1896570920944214
,0.0009997532801828658,27,,,
3,,35,,0.04915551841259003,0.1864147037267685
,0.0009995614150494292,36,,,
4,,44,,0.0479380264878273,0.1831018328666687
,0.000999314767377287,45,,,
5,,49,0.06049589812755585,,
5,,53,,0.04676710441708565,0.1782999336719513
,0.0009990133642141358,54,,,
6,,62,,0.05404860898852348,0.19127406179904938
,0.000998657238612229,63,,,
7,,71,,0.050390761345624924,0.1891128569841385
,0.0009982464296247522,72,,,
8,,80,,0.053833551704883575,0.19050075113773346
,0.00099778098230154,81,,,
9,,89,,0.05325192213058472,0.19383953511714935
,0.0009972609476841367,90,,,
10,,98,,0.054098013788461685,0.19010058045387268
,0.0009966863828001983,99,,,
11,,99,0.0507088340818882,,
11,,107,,0.050291433930397034,0.18753255903720856
,0.0009960573506572392,108,,,
12,,116,,0.05380481109023094,0.1899048537015915
,0.000995373920235722,117,,,
13,,125,,0.05457057058811188,0.19642610847949982
,0.0009946361664814943,126,,,
14,,134,,0.05460687726736069,0.18737873435020447
,0.000993844170297569,135,,,
15,,143,,0.052119579166173935,0.1941661685705185
,0.0009929980185352527,144,,,
16,,149,0.034583017230033875,,
16,,152,,0.05895836278796196,0.2001248598098755
,0.000992097803984621,153,,,
17,,161,,0.05416001379489899,0.19166836142539978
,0.0009911436253643446,162,,,
18,,170,,0.05579408258199692,0.19116881489753723
,0.0009901355873108612,171,,,
19,,179,,0.05401308089494705,0.18764260411262512
,0.000989073800366903,180,,,
20,,188,,0.06491319090127945,0.21197867393493652
,0.0009879583809693738,189,,,
21,,197,,0.0616542212665081,0.20348696410655975
,0.0009867894514365802,198,,,
22,,199,0.023966621607542038,,
22,,206,,0.05813166871666908,0.2007230669260025
,0.0009855671399548183,207,,,
23,,215,,0.06174623593688011,0.20082929730415344
,0.0009842915805643158,216,,,
24,,224,,0.05865779519081116,0.19640131294727325
,0.0009829629131445344,225,,,
25,,233,,0.056024469435214996,0.19860157370567322
,0.0009815812833988294,234,,,
26,,242,,0.06034582480788231,0.20521798729896545
,0.0009801468428384719,243,,,
27,,249,0.022091813385486603,,
27,,251,,0.05992572382092476,0.21259213984012604
,0.000978659748766034,252,,,
28,,260,,0.05361995846033096,0.19555780291557312
,0.0009771201642581387,261,,,
29,,269,,0.05792415514588356,0.20366376638412476
,0.0009755282581475771,270,,,
30,,278,,0.06303803622722626,0.21486926078796387
,0.0009738842050047931,279,,,
31,,287,,0.0605580173432827,0.21058382093906403
,0.0009721881851187409,288,,,
32,,296,,0.06055588275194168,0.2108735591173172
,0.0009704403844771131,297,,,
33,,299,0.010422135703265667,,
33,,305,,0.06168976426124573,0.20749440789222717
,0.0009686409947459461,306,,,
34,,314,,0.065611332654953,0.21582207083702087
,0.0009667902132486011,315,,,
35,,323,,0.062436677515506744,0.20982153713703156
,0.000964888242944126,324,,,
36,,332,,0.062367457896471024,0.21372875571250916
,0.0009629352924049977,333,,,
37,,341,,0.05931181460618973,0.2072223424911499
,0.0009609315757942507,342,,,
38,,349,0.007743001915514469,,
38,,350,,0.062388453632593155,0.20831945538520813
,0.0009588773128419909,351,,,
39,,359,,0.059446051716804504,0.20865988731384277
,0.0009567727288213008,360,,,
40,,368,,0.06204468011856079,0.21466536819934845
,0.0009546180545235346,369,,,
41,,377,,0.06417196989059448,0.20954856276512146
,0.0009524135262330101,378,,,
42,,386,,0.05902066081762314,0.2069351226091385
,0.0009501593857010972,387,,,
43,,395,,0.05891202762722969,0.20651108026504517
,0.0009478558801197068,396,,,
44,,399,0.012561270035803318,,
44,,404,,0.060646720230579376,0.2097175419330597
,0.0009455032620941841,405,,,
45,,413,,0.061518605798482895,0.21236291527748108
