epoch,lr-AdamW,step,train_loss,val_loss,val_mae
,0.001,0,,,
0,,4,,0.06895366311073303,0.22378040850162506
,0.000999972584682756,5,,,
1,,9,,0.06824345141649246,0.22177761793136597
,0.0009998903417374227,10,,,
2,,14,,0.06748389452695847,0.21969972550868988
,0.0009997532801828658,15,,,
3,,19,,0.06620326638221741,0.21630601584911346
,0.0009995614150494292,20,,,
4,,24,,0.06439897418022156,0.21231962740421295
,0.000999314767377287,25,,,
5,,29,,0.06222880259156227,0.20878787338733673
,0.0009990133642141358,30,,,
6,,34,,0.060463014990091324,0.20618371665477753
,0.000998657238612229,35,,,
7,,39,,0.05735323205590248,0.20091505348682404
,0.0009982464296247522,40,,,
8,,44,,0.05684194341301918,0.20081983506679535
,0.00099778098230154,45,,,
9,,49,0.062365759164094925,,
9,,49,,0.0551413893699646,0.1976718306541443
,0.0009972609476841367,50,,,
10,,54,,0.05121302232146263,0.1887112706899643
,0.0009966863828001983,55,,,
11,,59,,0.04971177503466606,0.18526674807071686
,0.0009960573506572392,60,,,
12,,64,,0.04664696380496025,0.17742325365543365
,0.000995373920235722,65,,,
13,,69,,0.04580649361014366,0.17615166306495667
,0.0009946361664814943,70,,,
14,,74,,0.04518628120422363,0.17460010945796967
,0.000993844170297569,75,,,
15,,79,,0.045951273292303085,0.17615924775600433
,0.0009929980185352527,80,,,
16,,84,,0.04520675167441368,0.17424382269382477
,0.000992097803984621,85,,,
17,,89,,0.04397447034716606,0.17265601456165314
,0.0009911436253643446,90,,,
18,,94,,0.044819410890340805,0.17302513122558594
,0.0009901355873108612,95,,,
19,,99,0.02699183113873005,,
19,,99,,0.04285659268498421,0.16884422302246094
,0.000989073800366903,100,,,
20,,104,,0.044222310185432434,0.16653957962989807
,0.0009879583809693738,105,,,
21,,109,,0.04390290752053261,0.1709468811750412
,0.0009867894514365802,110,,,
22,,114,,0.04074352979660034,0.16367484629154205
,0.0009855671399548183,115,,,
23,,119,,0.04076484590768814,0.16225872933864594
,0.0009842915805643158,120,,,
24,,124,,0.042208969593048096,0.1627044826745987
,0.0009829629131445344,125,,,
25,,129,,0.042377009987831116,0.16350111365318298
,0.0009815812833988294,130,,,
26,,134,,0.039138343185186386,0.15876370668411255
,0.0009801468428384719,135,,,
27,,139,,0.040960416197776794,0.16170544922351837
,0.000978659748766034,140,,,
28,,144,,0.04224608838558197,0.16345332562923431
,0.0009771201642581387,145,,,
29,,149,0.031856030225753784,,
29,,149,,0.041084788739681244,0.16383065283298492
,0.0009755282581475771,150,,,
30,,154,,0.04298403859138489,0.16515634953975677
,0.0009738842050047931,155,,,
31,,159,,0.05127118527889252,0.1788710206747055
,0.0009721881851187409,160,,,
32,,164,,0.047698330134153366,0.17302924394607544
,0.0009704403844771131,165,,,
33,,169,,0.04373566806316376,0.16571404039859772
,0.0009686409947459461,170,,,
34,,174,,0.042680155485868454,0.16267870366573334
,0.0009667902132486011,175,,,
35,,179,,0.04197206348180771,0.16407977044582367
,0.000964888242944126,180,,,
36,,184,,0.045391347259283066,0.16788510978221893
,0.0009629352924049977,185,,,
37,,189,,0.044839054346084595,0.16724298894405365
,0.0009609315757942507,190,,,
38,,194,,0.0464274138212204,0.16922059655189514
,0.0009588773128419909,195,,,
39,,199,0.024483565241098404,,
39,,199,,0.04529980197548866,0.1714872568845749
,0.0009567727288213008,200,,,
40,,204,,0.04047134891152382,0.15969976782798767
,0.0009546180545235346,205,,,
41,,209,,0.04019219055771828,0.158583864569664
,0.0009524135262330101,210,,,
42,,214,,0.04178375378251076,0.16246186196804047
,0.0009501593857010972,215,,,
43,,219,,0.047459278255701065,0.17167410254478455
,0.0009478558801197068,220,,,
44,,224,,0.045326415449380875,0.1670798510313034
,0.0009455032620941841,225,,,
45,,229,,0.0426679402589798,0.16096854209899902
,0.0009431017896156075,230,,,
46,,234,,0.04450216516852379,0.16571521759033203
,0.0009406517260324962,235,,,
47,,239,,0.04869084060192108,0.17178095877170563
,0.000938153340021932,240,,,
48,,244,,0.04569147527217865,0.168826624751091
,0.0009356069055600951,245,,,
49,,249,0.028358470648527145,,
49,,249,,0.04598787799477577,0.16733698546886444
,0.0009330127018922197,250,,,
50,,254,,0.05086572468280792,0.17564070224761963
,0.0009303710135019722,255,,,
51,,259,,0.043650589883327484,0.16055797040462494
,0.0009276821300802536,260,,,
52,,264,,0.048189934343099594,0.16901467740535736
,0.0009249463464934323,265,,,
53,,269,,0.04491322115063667,0.16350969672203064
,0.0009221639627510079,270,,,
54,,274,,0.040314748883247375,0.15692177414894104
,0.0009193352839727124,275,,,
55,,279,,0.03826587274670601,0.15353934466838837
,0.0009164606203550501,280,,,
56,,284,,0.04139574617147446,0.15883217751979828
,0.0009135402871372812,285,,,
57,,289,,0.04619171470403671,0.1649325042963028
,0.0009105746045668523,290,,,
58,,294,,0.04536386951804161,0.16198106110095978
,0.0009075638978642773,295,,,
59,,299,0.014763242565095425,,
59,,299,,0.04916929826140404,0.16893315315246582
,0.000904508497187474,300,,,
60,,304,,0.05285612493753433,0.17736686766147614
,0.0009014087375955575,305,,,
61,,309,,0.04583551734685898,0.16686831414699554
,0.0008982649590120983,310,,,
62,,314,,0.04603717103600502,0.16432175040245056
,0.0008950775061878453,315,,,
63,,319,,0.04438022896647453,0.16145382821559906
,0.00089184672866292,320,,,
64,,324,,0.042810749262571335,0.15886317193508148
,0.0008885729807284855,325,,,
65,,329,,0.04138696566224098,0.1551360934972763
,0.0008852566213878947,330,,,
66,,334,,0.0422835610806942,0.15934531390666962
,0.0008818980143173212,335,,,
67,,339,,0.04498482868075371,0.16487856209278107
,0.0008784975278258782,340,,,
68,,344,,0.048571228981018066,0.17608016729354858
,0.0008750555348152298,345,,,
69,,349,0.027380596846342087,,
69,,349,,0.056902240961790085,0.1944977194070816
,0.0008715724127386972,350,,,
70,,354,,0.05063695088028908,0.17724788188934326
,0.0008680485435598672,355,,,
71,,359,,0.039345212280750275,0.15480752289295197
,0.0008644843137107058,360,,,
72,,364,,0.04179346188902855,0.15826106071472168
,0.0008608801140491812,365,,,
73,,369,,0.047827646136283875,0.1661941111087799
,0.0008572363398164018,370,,,
74,,374,,0.044900935143232346,0.16041772067546844
,0.0008535533905932739,375,,,
75,,379,,0.04168540984392166,0.1529911607503891
,0.0008498316702566831,380,,,
76,,384,,0.042817626148462296,0.1567256599664688
,0.0008460715869352036,385,,,
77,,389,,0.04535546526312828,0.15695710480213165
,0.0008422735529643445,390,,,
78,,394,,0.051088668406009674,0.1723841428756714
,0.0008384379848413305,395,,,
79,,399,0.02020888216793537,,
79,,399,,0.05128610134124756,0.16767548024654388
,0.0008345653031794293,400,,,
80,,404,,0.050823796540498734,0.16861262917518616
,0.000830655932661826,405,,,
81,,409,,0.04665972292423248,0.16512896120548248
,0.0008267103019950529,410,,,
82,,414,,0.04273638129234314,0.16062265634536743
,0.0008227288438619754,415,,,
83,,419,,0.043791934847831726,0.15941472351551056
,0.000818711994874345,420,,,
84,,424,,0.05744628608226776,0.18511566519737244
,0.0008146601955249188,425,,,
85,,429,,0.054649725556373596,0.18436989188194275
,0.0008105738901391553,430,,,
86,,434,,0.04739039018750191,0.1704464554786682
,0.0008064535268264883,435,,,
87,,439,,0.048803675919771194,0.16945263743400574
,0.0008022995574311875,440,,,
88,,444,,0.053981129080057144,0.18023265898227692
,0.0007981124374828079,445,,,
89,,449,0.025162357836961746,,
89,,449,,0.050665318965911865,0.17148247361183167
,0.0007938926261462366,450,,,
90,,454,,0.05280075967311859,0.17202866077423096
,0.0007896405861713394,455,,,
91,,459,,0.0462212897837162,0.16471046209335327
,0.000785356783842216,460,,,
92,,464,,0.04327087104320526,0.15947674214839935
,0.0007810416889260655,465,,,
93,,469,,0.04143022373318672,0.15016041696071625
,0.0007766957746216721,470,,,
94,,474,,0.04203426465392113,0.15470512211322784
,0.0007723195175075136,475,,,
95,,479,,0.04039515554904938,0.15450245141983032
