epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_loss
,0.001,0,,,,
0,,7,,,0.25,1.553147792816162
,0.0009999383162408303,8,,,,
1,,15,,,0.359375,1.5651462078094482
,0.0009997532801828658,16,,,,
2,,23,,,0.328125,1.4900307655334473
,0.0009994449374809851,24,,,,
3,,31,,,0.296875,1.4443156719207764
,0.0009990133642141358,32,,,,
4,,39,,,0.375,1.407258152961731
,0.000998458666866564,40,,,,
5,,47,,,0.359375,1.370673656463623
,0.00099778098230154,48,,,,
6,,49,0.46875,1.049706220626831,,
6,,55,,,0.390625,1.4129352569580078
,0.0009969804777275899,56,,,,
7,,63,,,0.4375,1.3802447319030762
,0.000996057350657239,64,,,,
8,,71,,,0.421875,1.323256492614746
,0.0009950118288582787,72,,,,
9,,79,,,0.4375,1.3136913776397705
,0.0009938441702975688,80,,,,
10,,87,,,0.4375,1.361786127090454
,0.000992554663077387,88,,,,
11,,95,,,0.4375,1.3233616352081299
,0.0009911436253643444,96,,,,
12,,99,0.59375,0.9048417806625366,,
12,,103,,,0.53125,1.335098147392273
,0.0009896114053108828,104,,,,
13,,111,,,0.40625,1.3604018688201904
,0.0009879583809693736,112,,,,
14,,119,,,0.453125,1.3868916034698486
,0.0009861849601988382,120,,,,
15,,127,,,0.4375,1.3874893188476562
,0.0009842915805643154,128,,,,
16,,135,,,0.4375,1.3536286354064941
,0.000982278709228899,136,,,,
17,,143,,,0.515625,1.2693711519241333
,0.0009801468428384714,144,,,,
18,,149,0.71875,0.7096605896949768,,
18,,151,,,0.484375,1.401055932044983
,0.0009778965073991648,152,,,,
19,,159,,,0.421875,1.4080650806427002
,0.0009755282581475766,160,,,,
20,,167,,,0.4375,1.4234609603881836
,0.0009730426794137723,168,,,,
21,,175,,,0.484375,1.5382330417633057
,0.0009704403844771124,176,,,,
22,,183,,,0.5,1.6048046350479126
,0.0009677220154149334,184,,,,
23,,191,,,0.5,1.6969432830810547
,0.0009648882429441253,192,,,,
24,,199,0.8125,0.3970322012901306,,
24,,199,,,0.46875,1.710719347000122
,0.000961939766255643,200,,,,
25,,207,,,0.453125,1.7618217468261719
,0.0009588773128419901,208,,,,
26,,215,,,0.515625,1.7427258491516113
,0.0009557016383177221,216,,,,
27,,223,,,0.453125,1.8905208110809326
,0.0009524135262330093,224,,,,
28,,231,,,0.46875,1.979127049446106
,0.0009490137878803073,232,,,,
29,,239,,,0.421875,1.9315353631973267
,0.0009455032620941834,240,,,,
30,,247,,,0.453125,2.095857620239258
,0.0009418828150443463,248,,,,
31,,249,0.90625,0.3294644057750702,,
31,,255,,,0.484375,2.0254576206207275
,0.0009381533400219311,256,,,,
32,,263,,,0.453125,1.9915045499801636
,0.0009343157572190951,264,,,,
33,,271,,,0.46875,2.3282699584960938
,0.0009303710135019713,272,,,,
34,,279,,,0.40625,2.4985485076904297
,0.0009263200821770456,280,,,,
35,,287,,,0.46875,2.4457106590270996
,0.000922163962751007,288,,,,
36,,295,,,0.484375,2.462341785430908
,0.0009179036806841347,296,,,,
37,,299,0.90625,0.2281510829925537,,
37,,303,,,0.484375,2.641380786895752
,0.0009135402871372803,304,,,,
38,,311,,,0.40625,2.60138201713562
,0.0009090748587125112,312,,,,
39,,319,,,0.5,2.768214702606201
,0.0009045084971874732,320,,,,
40,,327,,,0.4375,2.9272849559783936
,0.0008998423292435448,328,,,,
41,,335,,,0.4375,2.8404593467712402
,0.0008950775061878447,336,,,,
42,,343,,,0.453125,3.4848825931549072
,0.0008902152036691643,344,,,,
43,,349,0.96875,0.12940485775470734,,
43,,351,,,0.4375,3.2134954929351807
,0.000885256621387894,352,,,,
44,,359,,,0.40625,3.3775506019592285
,0.0008802029828000149,360,,,,
45,,367,,,0.453125,3.5539498329162598
,0.0008750555348152292,368,,,,
46,,375,,,0.484375,3.71768856048584
,0.0008698155474893041,376,,,,
47,,383,,,0.46875,3.5832788944244385
