epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_loss
,0.001,0,,,,
0,,7,,,0.28125,1.5365610122680664
,0.0009999383162408303,8,,,,
1,,15,,,0.40625,1.4241009950637817
,0.0009997532801828658,16,,,,
2,,23,,,0.484375,1.2660443782806396
,0.0009994449374809851,24,,,,
3,,31,,,0.5,1.1652618646621704
,0.0009990133642141358,32,,,,
4,,39,,,0.5,1.1255340576171875
,0.000998458666866564,40,,,,
5,,47,,,0.578125,1.0437918901443481
,0.00099778098230154,48,,,,
6,,49,0.65625,1.0272339582443237,,
6,,55,,,0.578125,1.02519953250885
,0.0009969804777275899,56,,,,
7,,63,,,0.59375,1.0539746284484863
,0.000996057350657239,64,,,,
8,,71,,,0.5625,1.0845906734466553
,0.0009950118288582787,72,,,,
9,,79,,,0.5625,1.1608179807662964
,0.0009938441702975688,80,,,,
10,,87,,,0.546875,1.1651333570480347
,0.000992554663077387,88,,,,
11,,95,,,0.546875,1.127756118774414
,0.0009911436253643444,96,,,,
12,,99,0.78125,0.654037594795227,,
12,,103,,,0.53125,1.0795060396194458
,0.0009896114053108828,104,,,,
13,,111,,,0.5625,1.0356066226959229
,0.0009879583809693736,112,,,,
14,,119,,,0.546875,1.089902400970459
,0.0009861849601988382,120,,,,
15,,127,,,0.609375,1.0476635694503784
,0.0009842915805643154,128,,,,
16,,135,,,0.59375,0.9787187576293945
,0.000982278709228899,136,,,,
17,,143,,,0.5625,1.1144320964813232
,0.0009801468428384714,144,,,,
18,,149,0.6875,0.6152157783508301,,
18,,151,,,0.53125,1.1585735082626343
,0.0009778965073991648,152,,,,
19,,159,,,0.578125,1.0393130779266357
,0.0009755282581475766,160,,,,
20,,167,,,0.5625,1.0360400676727295
,0.0009730426794137723,168,,,,
21,,175,,,0.5,1.1837607622146606
,0.0009704403844771124,176,,,,
22,,183,,,0.484375,1.150694489479065
,0.0009677220154149334,184,,,,
23,,191,,,0.5625,1.146933674812317
,0.0009648882429441253,192,,,,
24,,199,0.96875,0.38027942180633545,,
24,,199,,,0.546875,1.147414207458496
,0.000961939766255643,200,,,,
25,,207,,,0.546875,1.2535191774368286
,0.0009588773128419901,208,,,,
26,,215,,,0.53125,1.1671556234359741
,0.0009557016383177221,216,,,,
27,,223,,,0.578125,1.1331688165664673
,0.0009524135262330093,224,,,,
28,,231,,,0.515625,1.267157793045044
,0.0009490137878803073,232,,,,
29,,239,,,0.578125,1.3013572692871094
,0.0009455032620941834,240,,,,
30,,247,,,0.515625,1.2262990474700928
,0.0009418828150443463,248,,,,
31,,249,0.9375,0.21686911582946777,,
31,,255,,,0.5625,1.2200062274932861
,0.0009381533400219311,256,,,,
32,,263,,,0.546875,1.3530757427215576
,0.0009343157572190951,264,,,,
33,,271,,,0.609375,1.2646163702011108
,0.0009303710135019713,272,,,,
34,,279,,,0.53125,1.3293341398239136
,0.0009263200821770456,280,,,,
35,,287,,,0.53125,1.3503682613372803
,0.000922163962751007,288,,,,
36,,295,,,0.5,1.4778094291687012
,0.0009179036806841347,296,,,,
37,,299,0.96875,0.10804175585508347,,
37,,303,,,0.546875,1.1923710107803345
,0.0009135402871372803,304,,,,
38,,311,,,0.5625,1.221184253692627
,0.0009090748587125112,312,,,,
39,,319,,,0.5,1.2868454456329346
,0.0009045084971874732,320,,,,
40,,327,,,0.5,1.3033409118652344
,0.0008998423292435448,328,,,,
41,,335,,,0.546875,1.3050336837768555
,0.0008950775061878447,336,,,,
42,,343,,,0.5625,1.2490215301513672
,0.0008902152036691643,344,,,,
43,,349,1.0,0.08418560773134232,,
43,,351,,,0.53125,1.3663349151611328
,0.000885256621387894,352,,,,
44,,359,,,0.53125,1.361669898033142
,0.0008802029828000149,360,,,,
45,,367,,,0.515625,1.4733190536499023
,0.0008750555348152292,368,,,,
46,,375,,,0.578125,1.4915270805358887
