epoch,lr-AdamW,step,train_loss,val_loss,val_mae
,0.001,0,,,
0,,8,,0.05436645820736885,0.19735321402549744
,0.000999972584682756,9,,,
1,,17,,0.056349772959947586,0.1913144439458847
,0.0009998903417374227,18,,,
2,,26,,0.05874771624803543,0.19343678653240204
,0.0009997532801828658,27,,,
3,,35,,0.053902704268693924,0.18526557087898254
,0.0009995614150494292,36,,,
4,,44,,0.05307351425290108,0.18344111740589142
,0.000999314767377287,45,,,
5,,49,0.057404883205890656,,
5,,53,,0.05129629001021385,0.18376803398132324
,0.0009990133642141358,54,,,
6,,62,,0.05289735272526741,0.18389736115932465
,0.000998657238612229,63,,,
7,,71,,0.05374997854232788,0.1871262490749359
,0.0009982464296247522,72,,,
8,,80,,0.05659228563308716,0.1934448778629303
,0.00099778098230154,81,,,
9,,89,,0.051434312015771866,0.182503804564476
,0.0009972609476841367,90,,,
10,,98,,0.056148041039705276,0.18862806260585785
,0.0009966863828001983,99,,,
11,,99,0.0358024537563324,,
11,,107,,0.05983554944396019,0.19133667647838593
,0.0009960573506572392,108,,,
12,,116,,0.05706777423620224,0.19310347735881805
,0.000995373920235722,117,,,
13,,125,,0.06373420357704163,0.19972281157970428
,0.0009946361664814943,126,,,
14,,134,,0.0645080953836441,0.20147991180419922
,0.000993844170297569,135,,,
15,,143,,0.06657109409570694,0.20533539354801178
,0.0009929980185352527,144,,,
16,,149,0.04142139106988907,,
16,,152,,0.07094678282737732,0.21696415543556213
,0.000992097803984621,153,,,
17,,161,,0.062094733119010925,0.19535383582115173
,0.0009911436253643446,162,,,
18,,170,,0.06951174885034561,0.21007175743579865
,0.0009901355873108612,171,,,
19,,179,,0.06500311195850372,0.20246590673923492
,0.000989073800366903,180,,,
20,,188,,0.07139361649751663,0.21355359256267548
,0.0009879583809693738,189,,,
21,,197,,0.0717872902750969,0.2095707803964615
,0.0009867894514365802,198,,,
22,,199,0.022679798305034637,,
22,,206,,0.07520866394042969,0.2149202972650528
,0.0009855671399548183,207,,,
23,,215,,0.06740564107894897,0.19997601211071014
,0.0009842915805643158,216,,,
24,,224,,0.07242178171873093,0.20919160544872284
,0.0009829629131445344,225,,,
25,,233,,0.0756533220410347,0.21277868747711182
,0.0009815812833988294,234,,,
26,,242,,0.07117828726768494,0.20817254483699799
,0.0009801468428384719,243,,,
27,,249,0.01622951775789261,,
27,,251,,0.07284867763519287,0.21114607155323029
,0.000978659748766034,252,,,
28,,260,,0.07839624583721161,0.21869723498821259
,0.0009771201642581387,261,,,
29,,269,,0.06851203739643097,0.2013353407382965
,0.0009755282581475771,270,,,
30,,278,,0.0654812753200531,0.20155176520347595
,0.0009738842050047931,279,,,
31,,287,,0.07744438946247101,0.21634426712989807
,0.0009721881851187409,288,,,
32,,296,,0.06918203830718994,0.20088261365890503
,0.0009704403844771131,297,,,
33,,299,0.013630309142172337,,
33,,305,,0.06734734028577805,0.20838822424411774
,0.0009686409947459461,306,,,
34,,314,,0.06919537484645844,0.20515583455562592
,0.0009667902132486011,315,,,
35,,323,,0.07201609760522842,0.20801527798175812
,0.000964888242944126,324,,,
36,,332,,0.07204412668943405,0.20480485260486603
,0.0009629352924049977,333,,,
37,,341,,0.0718187540769577,0.20806577801704407
,0.0009609315757942507,342,,,
38,,349,0.009322909638285637,,
38,,350,,0.07253782451152802,0.2096165269613266
,0.0009588773128419909,351,,,
39,,359,,0.07002127915620804,0.20936790108680725
,0.0009567727288213008,360,,,
40,,368,,0.07019440829753876,0.20652976632118225
,0.0009546180545235346,369,,,
41,,377,,0.07091366499662399,0.20747457444667816
,0.0009524135262330101,378,,,
42,,386,,0.07715003192424774,0.21498118340969086
,0.0009501593857010972,387,,,
43,,395,,0.07309239357709885,0.2130337506532669
,0.0009478558801197068,396,,,
44,,399,0.007166367955505848,,
44,,404,,0.07026497274637222,0.21038594841957092
,0.0009455032620941841,405,,,
45,,413,,0.07635782659053802,0.21100641787052155
