epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_loss
,0.001,0,,,,
0,,7,,,0.234375,1.5515215396881104
,0.0009999383162408303,8,,,,
1,,15,,,0.484375,1.4425567388534546
,0.0009997532801828658,16,,,,
2,,23,,,0.5,1.258857011795044
,0.0009994449374809851,24,,,,
3,,31,,,0.515625,1.1180729866027832
,0.0009990133642141358,32,,,,
4,,39,,,0.625,1.0090839862823486
,0.000998458666866564,40,,,,
5,,47,,,0.640625,0.9555590748786926
,0.00099778098230154,48,,,,
6,,49,0.53125,1.0418459177017212,,
6,,55,,,0.5625,0.9409003853797913
,0.0009969804777275899,56,,,,
7,,63,,,0.59375,0.9398077130317688
,0.000996057350657239,64,,,,
8,,71,,,0.625,0.8473231196403503
,0.0009950118288582787,72,,,,
9,,79,,,0.625,0.8908652067184448
,0.0009938441702975688,80,,,,
10,,87,,,0.625,0.8422856330871582
,0.000992554663077387,88,,,,
11,,95,,,0.640625,0.8109205365180969
,0.0009911436253643444,96,,,,
12,,99,0.6875,0.7384272813796997,,
12,,103,,,0.625,0.8405395746231079
,0.0009896114053108828,104,,,,
13,,111,,,0.609375,0.8364121913909912
,0.0009879583809693736,112,,,,
14,,119,,,0.625,0.798309862613678
,0.0009861849601988382,120,,,,
15,,127,,,0.625,0.8403225541114807
,0.0009842915805643154,128,,,,
16,,135,,,0.609375,0.7906147241592407
,0.000982278709228899,136,,,,
17,,143,,,0.640625,0.8098013401031494
,0.0009801468428384714,144,,,,
18,,149,0.78125,0.612932562828064,,
18,,151,,,0.640625,0.8171597719192505
,0.0009778965073991648,152,,,,
19,,159,,,0.625,0.7761040925979614
,0.0009755282581475766,160,,,,
20,,167,,,0.65625,0.7542980313301086
,0.0009730426794137723,168,,,,
21,,175,,,0.5625,0.8068892955780029
,0.0009704403844771124,176,,,,
22,,183,,,0.59375,0.8717135787010193
,0.0009677220154149334,184,,,,
23,,191,,,0.609375,0.8035215735435486
,0.0009648882429441253,192,,,,
24,,199,0.71875,0.7638286352157593,,
24,,199,,,0.625,0.9212720394134521
,0.000961939766255643,200,,,,
25,,207,,,0.625,0.8103845119476318
,0.0009588773128419901,208,,,,
26,,215,,,0.578125,0.9388591647148132
,0.0009557016383177221,216,,,,
27,,223,,,0.625,0.8220595121383667
,0.0009524135262330093,224,,,,
28,,231,,,0.6875,0.8403295278549194
,0.0009490137878803073,232,,,,
29,,239,,,0.609375,0.885454535484314
,0.0009455032620941834,240,,,,
30,,247,,,0.625,0.7997201681137085
,0.0009418828150443463,248,,,,
31,,249,0.875,0.29896676540374756,,
31,,255,,,0.609375,0.8994566202163696
,0.0009381533400219311,256,,,,
32,,263,,,0.609375,0.8677883744239807
,0.0009343157572190951,264,,,,
33,,271,,,0.6875,0.8923985958099365
,0.0009303710135019713,272,,,,
34,,279,,,0.578125,0.9479886293411255
,0.0009263200821770456,280,,,,
35,,287,,,0.609375,0.8942227363586426
,0.000922163962751007,288,,,,
36,,295,,,0.578125,0.9335644245147705
,0.0009179036806841347,296,,,,
37,,299,0.90625,0.45054271817207336,,
37,,303,,,0.578125,1.0072886943817139
,0.0009135402871372803,304,,,,
38,,311,,,0.640625,0.9255198836326599
,0.0009090748587125112,312,,,,
39,,319,,,0.640625,0.8625524640083313
,0.0009045084971874732,320,,,,
40,,327,,,0.640625,0.8852134943008423
,0.0008998423292435448,328,,,,
41,,335,,,0.640625,0.9695577621459961
,0.0008950775061878447,336,,,,
42,,343,,,0.578125,0.957229733467102
,0.0008902152036691643,344,,,,
43,,349,0.9375,0.20562738180160522,,
43,,351,,,0.578125,1.0443376302719116
,0.000885256621387894,352,,,,
44,,359,,,0.609375,1.0215492248535156
,0.0008802029828000149,360,,,,
45,,367,,,0.625,0.9630124568939209
,0.0008750555348152292,368,,,,
46,,375,,,0.578125,1.0084812641143799
,0.0008698155474893041,376,,,,
47,,383,,,0.578125,1.1448583602905273
,0.0008644843137107051,384,,,,
48,,391,,,0.546875,1.1979973316192627
,0.0008590631488815939,392,,,,
49,,399,0.96875,0.132716566324234,,
49,,399,,,0.609375,0.9317350387573242
,0.0008535533905932731,400,,,,
50,,407,,,0.640625,0.9928132891654968
