epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_loss
,0.001,0,,,,
0,,5,,,0.4423076808452606,1.3543555736541748
,0.0009999383162408303,6,,,,
1,,11,,,0.42307692766189575,1.308901309967041
,0.0009997532801828658,12,,,,
2,,17,,,0.4038461446762085,1.250860333442688
,0.0009994449374809851,18,,,,
3,,23,,,0.38461539149284363,1.1893367767333984
,0.0009990133642141358,24,,,,
4,,29,,,0.4038461446762085,1.1655977964401245
,0.000998458666866564,30,,,,
5,,35,,,0.5192307829856873,1.0962932109832764
,0.00099778098230154,36,,,,
6,,41,,,0.5384615659713745,1.0235965251922607
,0.0009969804777275899,42,,,,
7,,47,,,0.6538461446762085,0.9157864451408386
,0.000996057350657239,48,,,,
8,,49,0.5,0.9535243511199951,,
8,,53,,,0.6346153616905212,0.8619762063026428
,0.0009950118288582787,54,,,,
9,,59,,,0.6153846383094788,0.8261903524398804
,0.0009938441702975688,60,,,,
10,,65,,,0.7115384340286255,0.7715062499046326
,0.000992554663077387,66,,,,
11,,71,,,0.6730769276618958,0.8620230555534363
,0.0009911436253643444,72,,,,
12,,77,,,0.6346153616905212,0.8076221942901611
,0.0009896114053108828,78,,,,
13,,83,,,0.692307710647583,0.7734829783439636
,0.0009879583809693736,84,,,,
14,,89,,,0.7307692170143127,0.7368117570877075
,0.0009861849601988382,90,,,,
15,,95,,,0.7307692170143127,0.7122768759727478
,0.0009842915805643154,96,,,,
16,,99,0.65625,0.7317795157432556,,
16,,101,,,0.7115384340286255,0.7841694355010986
,0.000982278709228899,102,,,,
17,,107,,,0.6538461446762085,0.7746202945709229
,0.0009801468428384714,108,,,,
18,,113,,,0.6538461446762085,0.7093812227249146
,0.0009778965073991648,114,,,,
19,,119,,,0.6538461446762085,0.7155837416648865
,0.0009755282581475766,120,,,,
20,,125,,,0.6153846383094788,0.7626065611839294
,0.0009730426794137723,126,,,,
21,,131,,,0.6730769276618958,0.8135150074958801
,0.0009704403844771124,132,,,,
22,,137,,,0.6730769276618958,0.7853171229362488
,0.0009677220154149334,138,,,,
23,,143,,,0.7115384340286255,0.6360378265380859
,0.0009648882429441253,144,,,,
24,,149,0.59375,0.7748563289642334,,
24,,149,,,0.7115384340286255,0.5787680149078369
,0.000961939766255643,150,,,,
