epoch,lr-SOAP,step,train_loss,val_acc,val_loss
,0.003,0,,,
0,,31,,0.4375,1.503225326538086
,0.002997041079278193,32,,,
1,,49,1.5163295269012451,,
1,,63,,0.5,1.2696486711502075
,0.0029881759946210596,64,,,
2,,95,,0.5625,1.1692858934402466
,0.002973439732467669,96,,,
3,,99,1.3472750186920166,,
3,,127,,0.5625,1.186872959136963
,0.0029528904501123824,128,,,
4,,149,1.075445294380188,,
4,,159,,0.546875,1.0878580808639526
,0.002926609246184583,160,,,
5,,191,,0.53125,1.134609341621399
,0.002894699840589433,192,,,
6,,199,1.0480318069458008,,
6,,223,,0.5,1.1681625843048096
,0.0028572881651727964,224,,,
7,,249,0.7638230323791504,,
7,,255,,0.578125,1.2493187189102173
,0.002814521866725773,256,,,
8,,287,,0.5,1.2346693277359009
,0.002766569724290272,288,,,
9,,299,0.8613408803939819,,
9,,319,,0.578125,1.1964999437332153
,0.0027136209830652337,320,,,
10,,349,0.6186367273330688,,
10,,351,,0.515625,1.1352934837341309
,0.0026558846075422963,352,,,
11,,383,,0.5,1.1562676429748535
,0.002593588456818407,384,,,
12,,399,1.2786442041397095,,
12,,415,,0.59375,1.151178240776062
,0.002526978385340069,416,,,
13,,447,,0.609375,1.137895107269287
,0.0024563172726281605,448,,,
14,,449,0.5182243585586548,,
14,,479,,0.59375,1.1900897026062012
,0.002381883985812564,480,,,
15,,499,0.5872218608856201,,
15,,511,,0.609375,1.1107202768325806
,0.0023039722790710055,512,,,
16,,543,,0.515625,1.1325724124908447
,0.002222889634315522,544,,,
17,,549,1.197378396987915,,
17,,575,,0.53125,1.2069668769836426
,0.0021389560477018264,576,,,
18,,599,0.9405496716499329,,
18,,607,,0.515625,1.0986692905426025
,0.002052502766750675,608,,,
19,,639,,0.53125,1.2114815711975098
,0.0019638709830652338,640,,,
20,,649,0.5353385210037231,,
20,,671,,0.59375,1.136687159538269
,0.0018734104858036994,672,,,
21,,699,0.6120828986167908,,
21,,703,,0.546875,1.2058923244476318
,0.0017814782812212943,704,,,
22,,735,,0.484375,1.2093477249145508
,0.0016884371837296744,736,,,
23,,749,1.17047119140625,,
23,,767,,0.515625,1.2040016651153564
,0.0015946543840342055,768,,,
24,,799,1.2478388547897339,,
24,,799,,0.59375,1.1767122745513916
,0.0015004999999999999,800,,,
25,,831,,0.5625,1.1386548280715942
,0.0014063456159657945,832,,,
26,,849,0.5881884098052979,,
26,,863,,0.578125,1.132116675376892
,0.0013125628162703258,864,,,
27,,895,,0.5625,1.1204862594604492
,0.001219521718778706,896,,,
28,,899,1.1794049739837646,,
28,,927,,0.609375,1.1423933506011963
,0.0011275895141963001,928,,,
29,,949,0.6112032532691956,,
29,,959,,0.609375,1.1530096530914307
,0.0010371290169347667,960,,,
30,,991,,0.53125,1.159106731414795
,0.0009484972332493257,992,,,
31,,999,0.8001227378845215,,
31,,1023,,0.53125,1.1409940719604492
,0.0008620439522981735,1024,,,
32,,1049,1.1559841632843018,,
32,,1055,,0.5625,1.1167547702789307
,0.0007781103656844778,1056,,,
33,,1087,,0.59375,1.1162376403808594
,0.0006970277209289941,1088,,,
34,,1099,1.1453979015350342,,
34,,1119,,0.578125,1.127894401550293
,0.0006191160141874367,1120,,,
35,,1149,0.580453097820282,,
35,,1151,,0.625,1.0824124813079834
,0.0005446827273718397,1152,,,
36,,1183,,0.578125,1.1052138805389404
,0.0004740216146599313,1184,,,
37,,1199,0.8428226709365845,,
37,,1215,,0.5625,1.116955280303955
,0.0004074115431815937,1216,,,
38,,1247,,0.5625,1.1041655540466309
,0.0003451153924577042,1248,,,
39,,1249,0.9233032464981079,,
39,,1279,,0.59375,1.1009618043899536
,0.00028737901693476646,1280,,,
40,,1299,1.0256781578063965,,
40,,1311,,0.609375,1.0895425081253052
,0.00023443027570972872,1312,,,
41,,1343,,0.59375,1.1147966384887695
,0.00018647813327422655,1344,,,
42,,1349,0.4902234673500061,,
42,,1375,,0.578125,1.1129786968231201
,0.00014371183482720398,1376,,,
43,,1399,0.642877995967865,,
43,,1407,,0.578125,1.105973720550537
,0.0001063001594105671,1408,,,
44,,1439,,0.578125,1.1044940948486328
,7.439075381541727e-05,1440,,,
45,,1449,1.1240030527114868,,
45,,1471,,0.59375,1.109034538269043
,4.8109549887617865e-05,1472,,,
46,,1499,0.539037823677063,,
46,,1503,,0.59375,1.0991542339324951
,2.7560267532331263e-05,1504,,,
47,,1535,,0.609375,1.0956618785858154
,1.2824005378940592e-05,1536,,,
48,,1549,0.7058149576187134,,
48,,1567,,0.59375,1.1012885570526123
,3.958920721806798e-06,1568,,,
49,,1599,0.9751210808753967,,
49,,1599,,0.609375,1.1003210544586182
,0.003,1600,,,
50,,1631,,0.53125,1.1481043100357056
,0.0029992600872684144,1632,,,
51,,1649,0.936741054058075,,
51,,1663,,0.53125,1.1372666358947754
,0.002997041079278193,1664,,,
52,,1695,,0.5625,1.0365700721740723
,0.0029933451659223185,1696,,,
53,,1699,0.66657954454422,,
53,,1727,,0.5,1.1930710077285767
,0.0029881759946210596,1728,,,
54,,1749,0.5857657194137573,,
54,,1759,,0.515625,1.177076816558838
,0.002981538666722409,1760,,,
55,,1791,,0.546875,1.1378291845321655
,0.002973439732467669,1792,,,
56,,1799,0.9229573011398315,,
56,,1823,,0.5625,1.1036715507507324
,0.002963887184527152,1824,,,
57,,1849,1.1805191040039062,,
57,,1855,,0.515625,1.1365790367126465
,0.0029528904501123824,1856,,,
58,,1887,,0.53125,1.137631893157959
,0.002940460381672576,1888,,,
59,,1899,0.5821018218994141,,
59,,1919,,0.53125,1.1414198875427246
,0.002926609246184583,1920,,,
60,,1949,1.276447057723999,,
60,,1951,,0.546875,1.1127713918685913
,0.002911350713046861,1952,,,
61,,1983,,0.515625,1.1148505210876465
,0.002894699840589433,1984,,,
62,,1999,0.8485360145568848,,
62,,2015,,0.5625,1.088509440422058
,0.0028766730612131298,2016,,,
63,,2047,,0.546875,1.1169513463974
,0.0028572881651727964,2048,,,
64,,2049,0.48403534293174744,,
64,,2079,,0.46875,1.251380205154419
,0.0028365642830204575,2080,,,
65,,2099,0.5116767883300781,,
65,,2111,,0.5625,1.1145963668823242
,0.002814521866725773,2112,,,
66,,2143,,0.515625,1.1768054962158203
,0.0027911826694924135,2144,,,
67,,2149,0.6400101184844971,,
67,,2175,,0.5,1.1860332489013672
,0.002766569724290272,2176,,,
68,,2199,0.5221750736236572,,
68,,2207,,0.640625,1.0822550058364868
,0.002740707321124705,2208,,,
69,,2239,,0.515625,1.2182626724243164
,0.0027136209830652337,2240,,,
70,,2249,0.4675029218196869,,
70,,2271,,0.53125,1.1766748428344727
,0.0026853374410573476,2272,,,
71,,2299,1.0098521709442139,,
71,,2303,,0.515625,1.2280443906784058
,0.0026558846075422963,2304,,,
72,,2335,,0.53125,1.1497923135757446
,0.0026252915489108743,2336,,,
73,,2349,1.044974446296692,,
73,,2367,,0.515625,1.1718943119049072
,0.002593588456818407,2368,,,
74,,2399,0.8755887150764465,,
74,,2399,,0.515625,1.1732969284057617
,0.002560806618389228,2400,,,
75,,2431,,0.5,1.2211400270462036
,0.002526978385340069,2432,,,
76,,2449,0.627456545829773,,
76,,2463,,0.5625,1.1186156272888184
,0.002492137142052816,2464,,,
77,,2495,,0.5,1.1598564386367798
,0.0024563172726281605,2496,,,
78,,2499,0.6185184717178345,,
78,,2527,,0.53125,1.1759015321731567
,0.0024195541269526385,2528,,,
79,,2549,0.48770731687545776,,
79,,2559,,0.53125,1.1715819835662842
,0.002381883985812564,2560,,,
80,,2591,,0.578125,1.163754940032959
,0.0023433440250892703,2592,,,
81,,2599,0.4577088952064514,,
81,,2623,,0.546875,1.1141149997711182
,0.0023039722790710055,2624,,,
82,,2649,1.188293218612671,,
82,,2655,,0.5625,1.1327784061431885
,0.002263807602917682,2656,,,
83,,2687,,0.578125,1.1777479648590088
,0.002222889634315522,2688,,,
84,,2699,0.632867693901062,,
84,,2719,,0.515625,1.1825414896011353
,0.0021812587543594505,2720,,,
85,,2749,1.1437634229660034,,
85,,2751,,0.5,1.2301840782165527
,0.0021389560477018264,2752,,,
86,,2783,,0.546875,1.1378579139709473
,0.0020960232620068535,2784,,,
87,,2799,0.43712449073791504,,
87,,2815,,0.53125,1.1867995262145996
,0.002052502766750675,2816,,,
88,,2847,,0.484375,1.1798923015594482
,0.002008437511407815,2848,,,
89,,2849,1.217824935913086,,
89,,2879,,0.609375,1.1301099061965942
,0.0019638709830652338,2880,,,
90,,2899,0.5335162878036499,,
90,,2911,,0.515625,1.1956584453582764
,0.0019188471635058243,2912,,,
91,,2943,,0.515625,1.1533472537994385
,0.0018734104858036994,2944,,,
92,,2949,1.1212761402130127,,
92,,2975,,0.53125,1.1408724784851074
,0.0018276057904741158,2976,,,
93,,2999,0.9611005187034607,,
93,,3007,,0.546875,1.2004220485687256
,0.0017814782812212943,3008,,,
94,,3039,,0.53125,1.1799492835998535
,0.0017350734803278263,3040,,,
95,,3049,0.6046426296234131,,
95,,3071,,0.578125,1.1094590425491333
,0.0016884371837296744,3072,,,
96,,3099,0.6157985925674438,,
96,,3103,,0.53125,1.1701204776763916
,0.001641615415821112,3104,,,
97,,3135,,0.578125,1.2088764905929565
,0.0015946543840342055,3136,,,
98,,3149,0.8361053466796875,,
98,,3167,,0.53125,1.212356686592102
,0.0015476004332376533,3168,,,
99,,3199,1.08367919921875,,
99,,3199,,0.546875,1.1917437314987183
,0.0015004999999999999,3200,,,
100,,3231,,0.5625,1.1918988227844238
,0.0014533995667623464,3232,,,
101,,3249,1.3113694190979004,,
101,,3263,,0.53125,1.194690465927124
,0.0014063456159657945,3264,,,
102,,3295,,0.53125,1.212317705154419
,0.0013593845841788877,3296,,,
103,,3299,0.8643831014633179,,
103,,3327,,0.53125,1.1640113592147827
,0.0013125628162703258,3328,,,
104,,3349,0.9312743544578552,,
104,,3359,,0.5,1.222364902496338
,0.0012659265196721737,3360,,,
105,,3391,,0.53125,1.1735928058624268
,0.001219521718778706,3392,,,
106,,3399,1.0163249969482422,,
106,,3423,,0.5625,1.1664289236068726
,0.0011733942095258848,3424,,,
107,,3449,0.4267539381980896,,
107,,3455,,0.53125,1.2327238321304321
,0.0011275895141963001,3456,,,
108,,3487,,0.515625,1.2235084772109985
,0.0010821528364941759,3488,,,
109,,3499,0.8169346451759338,,
109,,3519,,0.53125,1.199411392211914
,0.0010371290169347667,3520,,,
110,,3549,0.4376181960105896,,
110,,3551,,0.515625,1.1919584274291992
,0.0009925624885921856,3552,,,
111,,3583,,0.5,1.2200781106948853
,0.0009484972332493257,3584,,,
112,,3599,0.9679296612739563,,
112,,3615,,0.53125,1.2177820205688477
,0.0009049767379931463,3616,,,
113,,3647,,0.53125,1.2065346240997314
,0.0008620439522981735,3648,,,
114,,3649,0.43712490797042847,,
114,,3679,,0.5,1.2187037467956543
,0.0008197412456405497,3680,,,
115,,3699,0.6780016422271729,,
115,,3711,,0.546875,1.1594648361206055
,0.0007781103656844778,3712,,,
116,,3743,,0.5625,1.178292155265808
,0.0007371923970823182,3744,,,
117,,3749,0.9199949502944946,,
117,,3775,,0.546875,1.1877424716949463
,0.0006970277209289941,3776,,,
118,,3799,0.43017420172691345,,
118,,3807,,0.53125,1.217811107635498
,0.00065765597491073,3808,,,
119,,3839,,0.515625,1.1985535621643066
,0.0006191160141874367,3840,,,
120,,3849,1.0510778427124023,,
120,,3871,,0.53125,1.1787585020065308
,0.0005814458730473616,3872,,,
121,,3899,0.7105271220207214,,
121,,3903,,0.546875,1.1728084087371826
,0.0005446827273718397,3904,,,
122,,3935,,0.53125,1.2072244882583618
,0.0005088628579471842,3936,,,
123,,3949,0.7225528955459595,,
123,,3967,,0.5,1.2351090908050537
,0.0004740216146599313,3968,,,
124,,3999,0.6452928185462952,,
124,,3999,,0.53125,1.201978087425232
,0.0004401933816107721,4000,,,
125,,4031,,0.53125,1.1915559768676758
,0.0004074115431815937,4032,,,
126,,4049,1.1735734939575195,,
126,,4063,,0.53125,1.1794302463531494
,0.000375708451089126,4064,,,
127,,4095,,0.5,1.1803858280181885
,0.0003451153924577042,4096,,,
128,,4099,1.082761526107788,,
128,,4127,,0.53125,1.1927231550216675
,0.00031566255894265223,4128,,,
129,,4149,1.1156840324401855,,
129,,4159,,0.515625,1.1867566108703613
,0.00028737901693476646,4160,,,
130,,4191,,0.515625,1.1805367469787598
,0.00026029267887529487,4192,,,
131,,4199,0.931662917137146,,
131,,4223,,0.546875,1.1686768531799316
,0.00023443027570972872,4224,,,
132,,4249,0.6069372892379761,,
132,,4255,,0.515625,1.1880545616149902
