epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_loss
,0.001,0,,,,
0,,7,,,0.359375,1.4393717050552368
,0.0009999383162408303,8,,,,
1,,15,,,0.421875,1.2974557876586914
,0.0009997532801828658,16,,,,
2,,23,,,0.46875,1.2052180767059326
,0.0009994449374809851,24,,,,
3,,31,,,0.5,1.1040376424789429
,0.0009990133642141358,32,,,,
4,,39,,,0.53125,1.0577938556671143
,0.000998458666866564,40,,,,
5,,47,,,0.5,1.059328317642212
,0.00099778098230154,48,,,,
6,,49,0.5,1.034099817276001,,
6,,55,,,0.5625,1.0005266666412354
,0.0009969804777275899,56,,,,
7,,63,,,0.515625,0.9905185699462891
,0.000996057350657239,64,,,,
8,,71,,,0.53125,1.0038114786148071
,0.0009950118288582787,72,,,,
9,,79,,,0.515625,0.9745727181434631
,0.0009938441702975688,80,,,,
10,,87,,,0.515625,0.9944639205932617
,0.000992554663077387,88,,,,
11,,95,,,0.484375,0.9992759227752686
,0.0009911436253643444,96,,,,
12,,99,0.53125,1.0419596433639526,,
12,,103,,,0.515625,0.9700803756713867
,0.0009896114053108828,104,,,,
13,,111,,,0.46875,0.9560596942901611
,0.0009879583809693736,112,,,,
14,,119,,,0.53125,1.0156563520431519
,0.0009861849601988382,120,,,,
15,,127,,,0.546875,0.9761806726455688
,0.0009842915805643154,128,,,,
16,,135,,,0.546875,1.0220634937286377
,0.000982278709228899,136,,,,
17,,143,,,0.484375,1.041483759880066
,0.0009801468428384714,144,,,,
18,,149,0.71875,0.7482253313064575,,
18,,151,,,0.515625,1.1226601600646973
,0.0009778965073991648,152,,,,
19,,159,,,0.453125,1.3243911266326904
,0.0009755282581475766,160,,,,
20,,167,,,0.46875,1.183862566947937
,0.0009730426794137723,168,,,,
21,,175,,,0.546875,1.0978690385818481
,0.0009704403844771124,176,,,,
22,,183,,,0.46875,1.1101467609405518
,0.0009677220154149334,184,,,,
23,,191,,,0.546875,1.2444701194763184
,0.0009648882429441253,192,,,,
24,,199,0.65625,0.8659306764602661,,
24,,199,,,0.484375,1.1360982656478882
,0.000961939766255643,200,,,,
25,,207,,,0.546875,1.1843712329864502
,0.0009588773128419901,208,,,,
26,,215,,,0.5,1.1424245834350586
,0.0009557016383177221,216,,,,
27,,223,,,0.5,1.24570631980896
,0.0009524135262330093,224,,,,
28,,231,,,0.5,1.4659537076950073
,0.0009490137878803073,232,,,,
29,,239,,,0.5,1.4932209253311157
,0.0009455032620941834,240,,,,
30,,247,,,0.546875,1.4969655275344849
,0.0009418828150443463,248,,,,
31,,249,0.90625,0.3128579556941986,,
31,,255,,,0.546875,1.7093138694763184
,0.0009381533400219311,256,,,,
32,,263,,,0.578125,1.7808939218521118
,0.0009343157572190951,264,,,,
33,,271,,,0.53125,1.7913415431976318
,0.0009303710135019713,272,,,,
34,,279,,,0.578125,1.8538737297058105
,0.0009263200821770456,280,,,,
35,,287,,,0.484375,1.8441846370697021
,0.000922163962751007,288,,,,
36,,295,,,0.53125,1.9961912631988525
,0.0009179036806841347,296,,,,
37,,299,0.8125,0.34121692180633545,,
37,,303,,,0.5625,1.9736124277114868
,0.0009135402871372803,304,,,,
38,,311,,,0.609375,1.8895127773284912
,0.0009090748587125112,312,,,,
39,,319,,,0.578125,2.120216131210327
,0.0009045084971874732,320,,,,
40,,327,,,0.5625,2.211261749267578
,0.0008998423292435448,328,,,,
41,,335,,,0.515625,2.2954301834106445
,0.0008950775061878447,336,,,,
42,,343,,,0.5625,2.1978862285614014
,0.0008902152036691643,344,,,,
43,,349,1.0,0.03947458788752556,,
43,,351,,,0.578125,2.3114922046661377
