epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_loss
,0.001,0,,,,
0,,7,,,0.359375,1.556459903717041
,0.0009999383162408303,8,,,,
1,,15,,,0.46875,1.4510977268218994
,0.0009997532801828658,16,,,,
2,,23,,,0.4375,1.3122293949127197
,0.0009994449374809851,24,,,,
3,,31,,,0.46875,1.223386526107788
,0.0009990133642141358,32,,,,
4,,39,,,0.53125,1.1696767807006836
,0.000998458666866564,40,,,,
5,,47,,,0.53125,1.1164398193359375
,0.00099778098230154,48,,,,
6,,49,0.5625,0.9399162530899048,,
6,,55,,,0.5625,1.1229488849639893
,0.0009969804777275899,56,,,,
7,,63,,,0.5625,1.1060519218444824
,0.000996057350657239,64,,,,
8,,71,,,0.5,1.1067372560501099
,0.0009950118288582787,72,,,,
9,,79,,,0.578125,1.042683720588684
,0.0009938441702975688,80,,,,
10,,87,,,0.578125,1.0492043495178223
,0.000992554663077387,88,,,,
11,,95,,,0.546875,1.1962473392486572
,0.0009911436253643444,96,,,,
12,,99,0.6875,0.7578118443489075,,
12,,103,,,0.59375,1.051877737045288
,0.0009896114053108828,104,,,,
13,,111,,,0.546875,1.0894358158111572
,0.0009879583809693736,112,,,,
14,,119,,,0.53125,1.1864590644836426
,0.0009861849601988382,120,,,,
15,,127,,,0.5625,1.102026343345642
,0.0009842915805643154,128,,,,
16,,135,,,0.5625,1.075362205505371
,0.000982278709228899,136,,,,
17,,143,,,0.515625,1.1814942359924316
,0.0009801468428384714,144,,,,
18,,149,0.625,0.7915133237838745,,
18,,151,,,0.5625,1.1249605417251587
,0.0009778965073991648,152,,,,
19,,159,,,0.546875,1.0907970666885376
,0.0009755282581475766,160,,,,
20,,167,,,0.53125,1.239135503768921
,0.0009730426794137723,168,,,,
21,,175,,,0.546875,1.2650583982467651
,0.0009704403844771124,176,,,,
22,,183,,,0.578125,1.1851527690887451
,0.0009677220154149334,184,,,,
23,,191,,,0.53125,1.3814785480499268
,0.0009648882429441253,192,,,,
24,,199,0.875,0.4334923326969147,,
24,,199,,,0.625,1.2278928756713867
,0.000961939766255643,200,,,,
25,,207,,,0.515625,1.4145148992538452
,0.0009588773128419901,208,,,,
26,,215,,,0.5625,1.3112132549285889
,0.0009557016383177221,216,,,,
27,,223,,,0.5625,1.1973541975021362
,0.0009524135262330093,224,,,,
28,,231,,,0.53125,1.3152210712432861
,0.0009490137878803073,232,,,,
29,,239,,,0.546875,1.3736610412597656
,0.0009455032620941834,240,,,,
30,,247,,,0.5625,1.265321135520935
,0.0009418828150443463,248,,,,
31,,249,0.84375,0.4019696116447449,,
31,,255,,,0.59375,1.2097680568695068
,0.0009381533400219311,256,,,,
32,,263,,,0.53125,1.1867855787277222
,0.0009343157572190951,264,,,,
33,,271,,,0.546875,1.4170511960983276
,0.0009303710135019713,272,,,,
34,,279,,,0.609375,1.2311975955963135
,0.0009263200821770456,280,,,,
35,,287,,,0.53125,1.2993524074554443
,0.000922163962751007,288,,,,
36,,295,,,0.515625,1.4762156009674072
,0.0009179036806841347,296,,,,
37,,299,0.96875,0.18277356028556824,,
37,,303,,,0.609375,1.2853032350540161
,0.0009135402871372803,304,,,,
38,,311,,,0.5625,1.3618988990783691
,0.0009090748587125112,312,,,,
39,,319,,,0.546875,1.5219486951828003
