epoch,lr-AdamW,step,train_loss,val_loss,val_mae
,0.001,0,,,
0,,8,,0.05000148341059685,0.18839016556739807
,0.000999972584682756,9,,,
1,,17,,0.04962726682424545,0.18703053891658783
,0.0009998903417374227,18,,,
2,,26,,0.05170099064707756,0.18629491329193115
,0.0009997532801828658,27,,,
3,,35,,0.051027022302150726,0.18673253059387207
,0.0009995614150494292,36,,,
4,,44,,0.050876013934612274,0.18405719101428986
,0.000999314767377287,45,,,
5,,49,0.06337158381938934,,
5,,53,,0.05193239450454712,0.18168681859970093
,0.0009990133642141358,54,,,
6,,62,,0.05297607183456421,0.18316826224327087
,0.000998657238612229,63,,,
7,,71,,0.054891135543584824,0.18764881789684296
,0.0009982464296247522,72,,,
8,,80,,0.0529509074985981,0.18655945360660553
,0.00099778098230154,81,,,
9,,89,,0.05595218762755394,0.18642911314964294
,0.0009972609476841367,90,,,
10,,98,,0.05752025917172432,0.18996290862560272
,0.0009966863828001983,99,,,
11,,99,0.04390937089920044,,
11,,107,,0.054272767156362534,0.1918550729751587
,0.0009960573506572392,108,,,
12,,116,,0.05816547945141792,0.18821635842323303
,0.000995373920235722,117,,,
13,,125,,0.05284053459763527,0.186279296875
,0.0009946361664814943,126,,,
14,,134,,0.06002339720726013,0.194367453455925
,0.000993844170297569,135,,,
15,,143,,0.05906582996249199,0.19335132837295532
,0.0009929980185352527,144,,,
16,,149,0.04807734116911888,,
16,,152,,0.06540191173553467,0.2026880383491516
,0.000992097803984621,153,,,
17,,161,,0.07759116590023041,0.22880038619041443
,0.0009911436253643446,162,,,
18,,170,,0.07378914207220078,0.21631932258605957
,0.0009901355873108612,171,,,
19,,179,,0.08802931010723114,0.2396865040063858
,0.000989073800366903,180,,,
20,,188,,0.07746537029743195,0.21908506751060486
,0.0009879583809693738,189,,,
21,,197,,0.07252993434667587,0.2135712206363678
,0.0009867894514365802,198,,,
22,,199,0.04129061847925186,,
22,,206,,0.0775742381811142,0.2236652374267578
,0.0009855671399548183,207,,,
23,,215,,0.08776696771383286,0.24575656652450562
,0.0009842915805643158,216,,,
24,,224,,0.08375317603349686,0.2403537929058075
,0.0009829629131445344,225,,,
25,,233,,0.08537610620260239,0.24147598445415497
,0.0009815812833988294,234,,,
26,,242,,0.0772564709186554,0.22743070125579834
,0.0009801468428384719,243,,,
27,,249,0.015511652454733849,,
27,,251,,0.08259852975606918,0.23409639298915863
,0.000978659748766034,252,,,
28,,260,,0.09936120361089706,0.2569463849067688
,0.0009771201642581387,261,,,
29,,269,,0.09926436841487885,0.2602559030056
,0.0009755282581475771,270,,,
30,,278,,0.1010361760854721,0.26796239614486694
,0.0009738842050047931,279,,,
31,,287,,0.09432148188352585,0.2558690011501312
,0.0009721881851187409,288,,,
32,,296,,0.09372161328792572,0.25552454590797424
,0.0009704403844771131,297,,,
33,,299,0.01670295000076294,,
33,,305,,0.10074540972709656,0.2649115025997162
,0.0009686409947459461,306,,,
34,,314,,0.09279381483793259,0.24952569603919983
,0.0009667902132486011,315,,,
35,,323,,0.09710010141134262,0.25227510929107666
,0.000964888242944126,324,,,
36,,332,,0.09671590477228165,0.25627076625823975
,0.0009629352924049977,333,,,
37,,341,,0.09171406924724579,0.2475470006465912
,0.0009609315757942507,342,,,
38,,349,0.008052853867411613,,
38,,350,,0.09346593171358109,0.24223044514656067
,0.0009588773128419909,351,,,
39,,359,,0.0969046875834465,0.24808043241500854
,0.0009567727288213008,360,,,
40,,368,,0.08774864673614502,0.23756375908851624
,0.0009546180545235346,369,,,
41,,377,,0.10310056060552597,0.25791510939598083
