epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_loss
,0.001,0,,,,
0,,5,,,0.27450981736183167,1.3561068773269653
,0.0009999383162408303,6,,,,
1,,11,,,0.5098039507865906,1.2802560329437256
,0.0009997532801828658,12,,,,
2,,17,,,0.47058823704719543,1.18263840675354
,0.0009994449374809851,18,,,,
3,,23,,,0.47058823704719543,1.0513153076171875
,0.0009990133642141358,24,,,,
4,,29,,,0.4901960790157318,1.0071008205413818
,0.000998458666866564,30,,,,
5,,35,,,0.47058823704719543,0.9831914901733398
,0.00099778098230154,36,,,,
6,,41,,,0.4901960790157318,0.94712233543396
,0.0009969804777275899,42,,,,
7,,47,,,0.4901960790157318,0.9502323269844055
,0.000996057350657239,48,,,,
8,,49,0.78125,0.4920453131198883,,
8,,53,,,0.529411792755127,0.9935768246650696
,0.0009950118288582787,54,,,,
9,,59,,,0.529411792755127,0.9247081279754639
,0.0009938441702975688,60,,,,
10,,65,,,0.4901960790157318,0.938494086265564
,0.000992554663077387,66,,,,
11,,71,,,0.4901960790157318,0.9379209876060486
,0.0009911436253643444,72,,,,
12,,77,,,0.529411792755127,0.9250788688659668
,0.0009896114053108828,78,,,,
13,,83,,,0.5490196347236633,0.9142683148384094
,0.0009879583809693736,84,,,,
14,,89,,,0.5098039507865906,0.9504938125610352
,0.0009861849601988382,90,,,,
15,,95,,,0.5098039507865906,0.9789430499076843
,0.0009842915805643154,96,,,,
16,,99,0.84375,0.4615037143230438,,
16,,101,,,0.529411792755127,0.9645291566848755
,0.000982278709228899,102,,,,
17,,107,,,0.6078431606292725,0.9141133427619934
,0.0009801468428384714,108,,,,
18,,113,,,0.5882353186607361,0.9394069910049438
,0.0009778965073991648,114,,,,
19,,119,,,0.529411792755127,1.0513521432876587
,0.0009755282581475766,120,,,,
20,,125,,,0.5686274766921997,0.9355381727218628
,0.0009730426794137723,126,,,,
21,,131,,,0.529411792755127,1.005514144897461
,0.0009704403844771124,132,,,,
22,,137,,,0.5098039507865906,1.0003892183303833
,0.0009677220154149334,138,,,,
23,,143,,,0.529411792755127,0.9201810956001282
,0.0009648882429441253,144,,,,
24,,149,0.90625,0.32434237003326416,,
24,,149,,,0.5490196347236633,0.9509568810462952
,0.000961939766255643,150,,,,
25,,155,,,0.5098039507865906,1.0602667331695557
,0.0009588773128419901,156,,,,
26,,161,,,0.5686274766921997,1.0957907438278198
,0.0009557016383177221,162,,,,
27,,167,,,0.529411792755127,1.1028542518615723
,0.0009524135262330093,168,,,,
28,,173,,,0.4901960790157318,0.9510695338249207
,0.0009490137878803073,174,,,,
29,,179,,,0.4901960790157318,0.9520845413208008
,0.0009455032620941834,180,,,,
30,,185,,,0.5098039507865906,1.0123745203018188
,0.0009418828150443463,186,,,,
31,,191,,,0.529411792755127,1.057608962059021
,0.0009381533400219311,192,,,,
32,,197,,,0.529411792755127,0.9675427675247192
,0.0009343157572190951,198,,,,
33,,199,0.9375,0.25218653678894043,,
33,,203,,,0.5882353186607361,0.9098525643348694
,0.0009303710135019713,204,,,,
34,,209,,,0.5098039507865906,1.0357763767242432
,0.0009263200821770456,210,,,,
35,,215,,,0.5490196347236633,1.0610069036483765
,0.000922163962751007,216,,,,
36,,221,,,0.5490196347236633,1.051703929901123
,0.0009179036806841347,222,,,,
37,,227,,,0.5490196347236633,1.0522030591964722
,0.0009135402871372803,228,,,,
38,,233,,,0.5882353186607361,0.9281553626060486
,0.0009090748587125112,234,,,,
39,,239,,,0.5686274766921997,0.9325296878814697
,0.0009045084971874732,240,,,,
40,,245,,,0.4901960790157318,1.1779786348342896
,0.0008998423292435448,246,,,,
41,,249,1.0,0.16715744137763977,,
41,,251,,,0.5686274766921997,1.1987168788909912
,0.0008950775061878447,252,,,,
42,,257,,,0.5686274766921997,1.0884023904800415
,0.0008902152036691643,258,,,,
43,,263,,,0.529411792755127,1.0398248434066772
,0.000885256621387894,264,,,,
