epoch,lr-SOAP,step,train_loss,val_acc,val_loss
,0.003,0,,,
0,,7,,0.21875,1.6039867401123047
,0.002997041079278193,8,,,
1,,15,,0.421875,1.5706250667572021
,0.0029881759946210596,16,,,
2,,23,,0.484375,1.466569423675537
,0.002973439732467669,24,,,
3,,31,,0.53125,1.2810819149017334
,0.0029528904501123824,32,,,
4,,39,,0.546875,1.1998810768127441
,0.002926609246184583,40,,,
5,,47,,0.484375,1.1449668407440186
,0.002894699840589433,48,,,
6,,49,1.338054895401001,,
6,,55,,0.46875,1.1293153762817383
,0.0028572881651727964,56,,,
7,,63,,0.484375,1.1168121099472046
,0.002814521866725773,64,,,
8,,71,,0.546875,1.0727243423461914
,0.002766569724290272,72,,,
9,,79,,0.5,1.0497667789459229
,0.0027136209830652337,80,,,
10,,87,,0.515625,1.0414397716522217
,0.0026558846075422963,88,,,
11,,95,,0.5,1.0376362800598145
,0.002593588456818407,96,,,
12,,99,1.1512473821640015,,
12,,103,,0.46875,1.0462921857833862
,0.002526978385340069,104,,,
13,,111,,0.53125,1.0637550354003906
,0.0024563172726281605,112,,,
14,,119,,0.546875,1.0483827590942383
,0.002381883985812564,120,,,
15,,127,,0.53125,1.0464026927947998
,0.0023039722790710055,128,,,
16,,135,,0.515625,1.0765800476074219
,0.002222889634315522,136,,,
17,,143,,0.46875,1.0713804960250854
,0.0021389560477018264,144,,,
18,,149,1.4216868877410889,,
18,,151,,0.5,1.071325659751892
,0.002052502766750675,152,,,
19,,159,,0.515625,1.0962259769439697
,0.0019638709830652338,160,,,
20,,167,,0.484375,1.102091670036316
,0.0018734104858036994,168,,,
21,,175,,0.5,1.0879838466644287
,0.0017814782812212943,176,,,
22,,183,,0.5,1.090841293334961
,0.0016884371837296744,184,,,
23,,191,,0.5,1.1384814977645874
,0.0015946543840342055,192,,,
24,,199,1.2925454378128052,,
24,,199,,0.484375,1.1443166732788086
,0.0015004999999999999,200,,,
25,,207,,0.484375,1.1403639316558838
,0.0014063456159657945,208,,,
26,,215,,0.5,1.1460728645324707
,0.0013125628162703258,216,,,
27,,223,,0.5,1.1324269771575928
,0.001219521718778706,224,,,
28,,231,,0.5,1.1097742319107056
,0.0011275895141963001,232,,,
29,,239,,0.453125,1.0985488891601562
,0.0010371290169347667,240,,,
30,,247,,0.484375,1.092365026473999
,0.0009484972332493257,248,,,
31,,249,0.8830257058143616,,
31,,255,,0.484375,1.0786817073822021
,0.0008620439522981735,256,,,
32,,263,,0.515625,1.071190357208252
,0.0007781103656844778,264,,,
33,,271,,0.5,1.0566725730895996
,0.0006970277209289941,272,,,
34,,279,,0.53125,1.061680793762207
,0.0006191160141874367,280,,,
35,,287,,0.5,1.0550613403320312
,0.0005446827273718397,288,,,
36,,295,,0.5,1.067995309829712
,0.0004740216146599313,296,,,
37,,299,1.4921221733093262,,
37,,303,,0.5,1.0578811168670654
,0.0004074115431815937,304,,,
38,,311,,0.5,1.0478273630142212
,0.0003451153924577042,312,,,
39,,319,,0.5,1.0592172145843506
,0.00028737901693476646,320,,,
40,,327,,0.53125,1.0567262172698975
,0.00023443027570972872,328,,,
41,,335,,0.5,1.061626672744751
,0.00018647813327422655,336,,,
42,,343,,0.515625,1.0589250326156616
,0.00014371183482720398,344,,,
43,,349,0.728988766670227,,
43,,351,,0.5,1.062509536743164
,0.0001063001594105671,352,,,
44,,359,,0.53125,1.0658835172653198
,7.439075381541727e-05,360,,,
45,,367,,0.5,1.0501307249069214
,4.8109549887617865e-05,368,,,
46,,375,,0.5,1.053017020225525
,2.7560267532331263e-05,376,,,
47,,383,,0.5,1.0632222890853882
,1.2824005378940592e-05,384,,,
48,,391,,0.5,1.0557992458343506
,3.958920721806798e-06,392,,,
49,,399,0.9324313402175903,,
49,,399,,0.484375,1.0642077922821045
,0.003,400,,,
50,,407,,0.5,1.1010503768920898
,0.0029992600872684144,408,,,
51,,415,,0.46875,1.1499898433685303
,0.002997041079278193,416,,,
52,,423,,0.5,1.1385619640350342
,0.0029933451659223185,424,,,
53,,431,,0.515625,1.1099576950073242
,0.0029881759946210596,432,,,
54,,439,,0.546875,1.058005928993225
,0.002981538666722409,440,,,
55,,447,,0.5625,1.0462086200714111
,0.002973439732467669,448,,,
56,,449,1.4686511754989624,,
56,,455,,0.5625,1.1252706050872803
,0.002963887184527152,456,,,
57,,463,,0.53125,1.0929415225982666
,0.0029528904501123824,464,,,
58,,471,,0.515625,1.0632050037384033
,0.002940460381672576,472,,,
59,,479,,0.578125,1.1232142448425293
,0.002926609246184583,480,,,
60,,487,,0.53125,1.1735076904296875
,0.002911350713046861,488,,,
61,,495,,0.53125,1.2146117687225342
