epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_loss
,0.001,0,,,,
0,,7,,,0.453125,1.4215564727783203
,0.0009999383162408303,8,,,,
1,,15,,,0.40625,1.3208303451538086
,0.0009997532801828658,16,,,,
2,,23,,,0.421875,1.1576666831970215
,0.0009994449374809851,24,,,,
3,,31,,,0.46875,1.1717793941497803
,0.0009990133642141358,32,,,,
4,,39,,,0.484375,1.140258550643921
,0.000998458666866564,40,,,,
5,,47,,,0.453125,1.0760858058929443
,0.00099778098230154,48,,,,
6,,49,0.5625,0.9124776124954224,,
6,,55,,,0.4375,1.0658164024353027
,0.0009969804777275899,56,,,,
7,,63,,,0.5625,1.1053178310394287
,0.000996057350657239,64,,,,
8,,71,,,0.484375,1.063041090965271
,0.0009950118288582787,72,,,,
9,,79,,,0.453125,1.050143837928772
,0.0009938441702975688,80,,,,
10,,87,,,0.546875,1.0656781196594238
,0.000992554663077387,88,,,,
11,,95,,,0.515625,1.0520035028457642
,0.0009911436253643444,96,,,,
12,,99,0.5625,1.0272138118743896,,
12,,103,,,0.546875,1.0480780601501465
,0.0009896114053108828,104,,,,
13,,111,,,0.53125,1.0464255809783936
,0.0009879583809693736,112,,,,
14,,119,,,0.546875,1.0560979843139648
,0.0009861849601988382,120,,,,
15,,127,,,0.515625,1.0792582035064697
,0.0009842915805643154,128,,,,
16,,135,,,0.5,1.1598721742630005
,0.000982278709228899,136,,,,
17,,143,,,0.53125,1.0364069938659668
,0.0009801468428384714,144,,,,
18,,149,0.65625,0.633328914642334,,
18,,151,,,0.53125,1.1289939880371094
,0.0009778965073991648,152,,,,
19,,159,,,0.484375,1.139807939529419
,0.0009755282581475766,160,,,,
20,,167,,,0.515625,1.1779208183288574
,0.0009730426794137723,168,,,,
21,,175,,,0.515625,1.2411808967590332
,0.0009704403844771124,176,,,,
22,,183,,,0.546875,1.2625640630722046
,0.0009677220154149334,184,,,,
23,,191,,,0.484375,1.3504033088684082
,0.0009648882429441253,192,,,,
24,,199,0.84375,0.45814403891563416,,
24,,199,,,0.484375,1.4985042810440063
,0.000961939766255643,200,,,,
25,,207,,,0.453125,1.5139153003692627
,0.0009588773128419901,208,,,,
26,,215,,,0.53125,1.6275920867919922
,0.0009557016383177221,216,,,,
27,,223,,,0.515625,1.6024593114852905
,0.0009524135262330093,224,,,,
28,,231,,,0.5,1.653353214263916
,0.0009490137878803073,232,,,,
29,,239,,,0.484375,1.5477310419082642
,0.0009455032620941834,240,,,,
30,,247,,,0.5,1.7294960021972656
,0.0009418828150443463,248,,,,
31,,249,0.90625,0.29816290736198425,,
31,,255,,,0.515625,1.737717866897583
,0.0009381533400219311,256,,,,
32,,263,,,0.53125,1.6784520149230957
,0.0009343157572190951,264,,,,
33,,271,,,0.46875,1.8760075569152832
,0.0009303710135019713,272,,,,
34,,279,,,0.484375,2.000269889831543
,0.0009263200821770456,280,,,,
35,,287,,,0.5,2.051929473876953
,0.000922163962751007,288,,,,
36,,295,,,0.5,2.1300885677337646
,0.0009179036806841347,296,,,,
37,,299,0.9375,0.1657070517539978,,
37,,303,,,0.4375,2.12454891204834
,0.0009135402871372803,304,,,,
38,,311,,,0.53125,2.2437751293182373
,0.0009090748587125112,312,,,,
39,,319,,,0.515625,2.280252695083618
,0.0009045084971874732,320,,,,
40,,327,,,0.53125,2.242913246154785
,0.0008998423292435448,328,,,,
41,,335,,,0.5,2.43727970123291
,0.0008950775061878447,336,,,,
42,,343,,,0.5,2.3059003353118896
,0.0008902152036691643,344,,,,
43,,349,0.9375,0.10578872263431549,,
43,,351,,,0.46875,2.3477425575256348
,0.000885256621387894,352,,,,
44,,359,,,0.515625,2.613602876663208
,0.0008802029828000149,360,,,,
45,,367,,,0.484375,2.591318130493164
,0.0008750555348152292,368,,,,
46,,375,,,0.5,2.5421862602233887
,0.0008698155474893041,376,,,,
47,,383,,,0.484375,2.6272449493408203
